code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.0,1.0,20000,syndrome,False,,0.02767650003079325,43745,43745,0,5390052,636060,640000,0.99384375,0.99384375,0.015,125,4000,60,19878,0.9939,19878,0.9939,19875,0.99375,3,0.00015,0.024,0,0.0,0.17890320002334192,0.008945160001167095,0.008945160001167095
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.0,1.0,20000,hard_mld,True,Пропущено: k = 32 больше max_k_for_mld = 16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.0,1.0,20000,soft_mld,True,Пропущено: k = 32 больше max_k_for_mld = 16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.0,1.0,20000,chase,False,,0.02767650003079325,43745,43745,0,5390052,581402,640000,0.908440625,0.908440625,0.021278727952966328,1871,59872,1274,18199,0.90995,18199,0.90995,18129,0.90645,70,0.0035,0.03741314804917156,0,0.0,46.61287159996573,2.330643579998286,2.330643579998286
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.5,0.9440608762859234,20000,syndrome,False,,0.02767650003079325,43745,43745,0,5390052,632000,640000,0.9875,0.9875,0.0,250,8000,0,19750,0.9875,19750,0.9875,19750,0.9875,0,0.0,0.0,0,0.0,0.18276460003107786,0.009138230001553893,0.009138230001553893
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.5,0.9440608762859234,20000,hard_mld,True,Пропущено: k = 32 больше max_k_for_mld = 16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.5,0.9440608762859234,20000,soft_mld,True,Пропущено: k = 32 больше max_k_for_mld = 16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.5,0.9440608762859234,20000,chase,False,,0.02767650003079325,43745,43745,0,5390052,539390,640000,0.842796875,0.842796875,0.012232956330505812,3183,101856,1246,16884,0.8442,16884,0.8442,16817,0.84085,67,0.00335,0.021049324536600692,0,0.0,44.46056159998989,2.2230280799994944,2.2230280799994944
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,1.0,0.8912509381337456,20000,syndrome,False,,0.02767650003079325,43745,43745,0,5390052,624032,640000,0.97505,0.97505,0.0,499,15968,0,19501,0.97505,19501,0.97505,19501,0.97505,0,0.0,0.0,0,0.0,0.17756500001996756,0.00887825000099838,0.00887825000099838
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,1.0,0.8912509381337456,20000,hard_mld,True,Пропущено: k = 32 больше max_k_for_mld = 16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
