code_name,n,k,code_rate,h,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,bit_errors,total_bits,ber,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.0,1.0,10000,syndrome,False,,35969,80000,0.4496125,5433,0.5433,5433,0.5433,3338,0.3338,0,0.0,1.286648100009188,0.1286648100009188
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.0,1.0,10000,hard_mld,False,,21557,80000,0.2694625,4988,0.4988,4988,0.4988,0,0.0,4882,0.4882,0.08301410003332421,0.008301410003332422
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.0,1.0,10000,soft_mld,False,,11598,80000,0.144975,2673,0.2673,2673,0.2673,0,0.0,0,0.0,0.019338400044944137,0.0019338400044944138
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.0,1.0,10000,chase,False,,12217,80000,0.1527125,2814,0.2814,2814,0.2814,4,0.0004,0,0.0,21.735154900001362,2.1735154900001366
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.5,0.9440608762859234,10000,syndrome,False,,31996,80000,0.39995,4841,0.4841,4841,0.4841,2941,0.2941,0,0.0,2.8182141999714077,0.2818214199971408
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.5,0.9440608762859234,10000,hard_mld,False,,19273,80000,0.2409125,4433,0.4433,4433,0.4433,0,0.0,4502,0.4502,0.08506209996994585,0.008506209996994585
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.5,0.9440608762859234,10000,soft_mld,False,,9327,80000,0.1165875,2129,0.2129,2129,0.2129,0,0.0,0,0.0,0.014974799996707588,0.0014974799996707588
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,0.5,0.9440608762859234,10000,chase,False,,9829,80000,0.1228625,2256,0.2256,2256,0.2256,2,0.0002,0,0.0,19.994583999970928,1.9994583999970927
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.0,0.8912509381337456,10000,syndrome,False,,27900,80000,0.34875,4237,0.4237,4237,0.4237,2542,0.2542,0,0.0,1.3548922999761999,0.13548922999762
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.0,0.8912509381337456,10000,hard_mld,False,,16853,80000,0.2106625,3865,0.3865,3865,0.3865,0,0.0,4061,0.4061,0.06524490000447258,0.006524490000447258
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.0,0.8912509381337456,10000,soft_mld,False,,7067,80000,0.0883375,1604,0.1604,1604,0.1604,0,0.0,0,0.0,0.014310099999420345,0.0014310099999420346
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.0,0.8912509381337456,10000,chase,False,,7532,80000,0.09415,1723,0.1723,1723,0.1723,0,0.0,0,0.0,20.04458230000455,2.004458230000455
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.5,0.8413951416451951,10000,syndrome,False,,23581,80000,0.2947625,3617,0.3617,3617,0.3617,2095,0.2095,0,0.0,1.44092930003535,0.144092930003535
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.5,0.8413951416451951,10000,hard_mld,False,,14371,80000,0.1796375,3274,0.3274,3274,0.3274,0,0.0,3566,0.3566,0.05703869997523725,0.0057038699975237245
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.5,0.8413951416451951,10000,soft_mld,False,,5210,80000,0.065125,1180,0.118,1180,0.118,0,0.0,0,0.0,0.01490929996361956,0.001490929996361956
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,1.5,0.8413951416451951,10000,chase,False,,5645,80000,0.0705625,1281,0.1281,1281,0.1281,0,0.0,0,0.0,20.779535400040913,2.077953540004091
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.0,0.7943282347242815,10000,syndrome,False,,19694,80000,0.246175,3043,0.3043,3043,0.3043,1710,0.171,0,0.0,1.4643803000217304,0.14643803000217304
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.0,0.7943282347242815,10000,hard_mld,False,,12115,80000,0.1514375,2755,0.2755,2755,0.2755,0,0.0,3114,0.3114,0.058091500017326325,0.005809150001732632
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.0,0.7943282347242815,10000,soft_mld,False,,3810,80000,0.047625,858,0.0858,858,0.0858,0,0.0,0,0.0,0.016795200004708022,0.001679520000470802
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.0,0.7943282347242815,10000,chase,False,,4081,80000,0.0510125,924,0.0924,924,0.0924,0,0.0,0,0.0,21.47684159997152,2.1476841599971523
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.5,0.7498942093324559,10000,syndrome,False,,15928,80000,0.1991,2471,0.2471,2471,0.2471,1351,0.1351,0,0.0,1.6539708999916911,0.1653970899991691
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.5,0.7498942093324559,10000,hard_mld,False,,9950,80000,0.124375,2245,0.2245,2245,0.2245,0,0.0,2657,0.2657,0.058534700016025454,0.005853470001602545
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.5,0.7498942093324559,10000,soft_mld,False,,2520,80000,0.0315,562,0.0562,562,0.0562,0,0.0,0,0.0,0.01457609998760745,0.001457609998760745
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,2.5,0.7498942093324559,10000,chase,False,,2774,80000,0.034675,624,0.0624,624,0.0624,0,0.0,0,0.0,21.42618539999239,2.1426185399992392
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.0,0.7079457843841379,10000,syndrome,False,,12463,80000,0.1557875,1950,0.195,1950,0.195,1042,0.1042,0,0.0,1.5104259999934584,0.15104259999934583
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.0,0.7079457843841379,10000,hard_mld,False,,7865,80000,0.0983125,1773,0.1773,1773,0.1773,0,0.0,2199,0.2199,0.05996029998641461,0.005996029998641461
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.0,0.7079457843841379,10000,soft_mld,False,,1660,80000,0.02075,368,0.0368,368,0.0368,0,0.0,0,0.0,0.015361899975687265,0.0015361899975687265
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.0,0.7079457843841379,10000,chase,False,,1835,80000,0.0229375,413,0.0413,413,0.0413,0,0.0,0,0.0,23.68811230000574,2.368811230000574
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.5,0.6683439175686147,10000,syndrome,False,,9332,80000,0.11665,1480,0.148,1480,0.148,754,0.0754,0,0.0,1.622090200020466,0.1622090200020466
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.5,0.6683439175686147,10000,hard_mld,False,,5966,80000,0.074575,1336,0.1336,1336,0.1336,0,0.0,1736,0.1736,0.06089439999777824,0.006089439999777824
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.5,0.6683439175686147,10000,soft_mld,False,,1022,80000,0.012775,225,0.0225,225,0.0225,0,0.0,0,0.0,0.014760999998543411,0.0014760999998543413
wavelet_16_8,16,8,0.5,1 1 0 1 1 1 1 1 1 1 1 1 1 1,3.5,0.6683439175686147,10000,chase,False,,1141,80000,0.0142625,253,0.0253,253,0.0253,0,0.0,0,0.0,22.22402979998151,2.222402979998151
wavelet_32_16,32,16,0.5,1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1,0.0,1.0,10000,syndrome,False,,144286,160000,0.9017875,9043,0.9043,9043,0.9043,8994,0.8994,0,0.0,0.6524730999954045,0.06524730999954045
