code_name,n,k,h,h_length,h_weight,min_distance,min_distance_mode,syndrome_error_weight,syndrome_patterns_count,unique_syndromes_count,syndrome_collisions_count,score
wavelet_16_8,16,8,1 1 0 1 1 1 1 1 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 0 1 1 1 1 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 0 1 1 1 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 1 0 1 1 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 1 1 0 1 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 1 1 1 0 1 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 1 1 1 1 0 1 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 1 1 1 1 1 1 1 1 0 1 1 1 1,14,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -14)"
wavelet_16_8,16,8,1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1,16,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -16)"
wavelet_16_8,16,8,1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1,16,13,4,exact,2,137,107,30,"(4, -30, 107, 13, -16)"
wavelet_32_16,32,16,1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1,32,25,6,exact,2,529,529,0,"(6, 0, 529, 25, -32)"
wavelet_32_16,32,16,1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1,28,23,6,exact,2,529,529,0,"(6, 0, 529, 23, -28)"
wavelet_32_16,32,16,1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1,28,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -28)"
wavelet_32_16,32,16,1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1,28,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -28)"
wavelet_32_16,32,16,1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1,28,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -28)"
wavelet_32_16,32,16,1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 1,30,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -30)"
wavelet_32_16,32,16,1 1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1,30,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -30)"
wavelet_32_16,32,16,1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 1,30,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -30)"
wavelet_32_16,32,16,1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 0 1,30,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -30)"
wavelet_32_16,32,16,1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 1 1,30,21,6,exact,2,529,529,0,"(6, 0, 529, 21, -30)"
wavelet_64_32,64,32,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,32,19,18,heuristic,2,2081,2081,0,"(18, 0, 2081, 19, -32)"
wavelet_64_32,64,32,1 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 1 1,32,17,18,heuristic,2,2081,2081,0,"(18, 0, 2081, 17, -32)"
wavelet_64_32,64,32,1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1,32,15,18,heuristic,2,2081,2081,0,"(18, 0, 2081, 15, -32)"
wavelet_64_32,64,32,1 0 0 1 0 1 0 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1,32,17,18,heuristic,2,2081,2033,48,"(18, -48, 2033, 17, -32)"
wavelet_64_32,64,32,1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 1 0 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
wavelet_64_32,64,32,1 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
wavelet_64_32,64,32,1 0 1 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
wavelet_64_32,64,32,1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 1 0 1 1 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
wavelet_64_32,64,32,1 1 1 1 0 0 0 1 1 1 0 1 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
wavelet_64_32,64,32,1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 1,32,21,16,heuristic,2,2081,2081,0,"(16, 0, 2081, 21, -32)"
