code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,syndrome,False,,0.0005209000082686543,529,529,0,48388,1552,1600,0.97,0.97,0.0,3,48,0,97,0.97,97,0.97,97,0.97,0,0.0,0.0,0,0.0,0.009354299996630289,0.09354299996630289,0.09354299996630289
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,hard_mld,False,,0.0,,,,,605,1600,0.378125,0.378125,0.378125,100,1600,605,77,0.77,77,0.77,0,0.0,77,0.77,0.77,65,0.65,0.39684200000192504,3.9684200000192504,3.9684200000192504
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,soft_mld,False,,0.0,,,,,547,1600,0.341875,0.341875,0.341875,100,1600,547,68,0.68,68,0.68,0,0.0,68,0.68,0.68,0,0.0,0.0713056999957189,0.713056999957189,0.713056999957189
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,chase,False,,0.0005209000082686543,529,529,0,48388,1058,1600,0.66125,0.66125,0.27925531914893614,47,752,210,80,0.8,80,0.8,53,0.53,27,0.27,0.574468085106383,0,0.0,0.047352800000226125,0.47352800000226125,0.47352800000226125
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,syndrome,False,,0.0005209000082686543,529,529,0,48388,1448,1600,0.905,0.905,0.05,10,160,8,91,0.91,91,0.91,90,0.9,1,0.01,0.1,0,0.0,0.00949479998962488,0.0949479998962488,0.0949479998962488
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,hard_mld,False,,0.0,,,,,545,1600,0.340625,0.340625,0.340625,100,1600,545,68,0.68,68,0.68,0,0.0,68,0.68,0.68,61,0.61,0.4068515000108164,4.068515000108164,4.068515000108164
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,soft_mld,False,,0.0,,,,,377,1600,0.235625,0.235625,0.235625,100,1600,377,46,0.46,46,0.46,0,0.0,46,0.46,0.46,0,0.0,0.08495039999252185,0.8495039999252185,0.8495039999252185
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,chase,False,,0.0005209000082686543,529,529,0,48388,980,1600,0.6125,0.6125,0.19270833333333334,48,768,148,72,0.72,72,0.72,52,0.52,20,0.2,0.4166666666666667,0,0.0,0.05728799999633338,0.5728799999633338,0.5728799999633338
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,syndrome,False,,0.0005209000082686543,529,529,0,48388,1416,1600,0.885,0.885,0.041666666666666664,12,192,8,89,0.89,89,0.89,88,0.88,1,0.01,0.08333333333333333,0,0.0,0.009667499994975515,0.09667499994975515,0.09667499994975515
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,hard_mld,False,,0.0,,,,,485,1600,0.303125,0.303125,0.303125,100,1600,485,62,0.62,62,0.62,0,0.0,62,0.62,0.62,56,0.56,0.3949315999925602,3.9493159999256027,3.9493159999256027
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,soft_mld,False,,0.0,,,,,285,1600,0.178125,0.178125,0.178125,100,1600,285,35,0.35,35,0.35,0,0.0,35,0.35,0.35,0,0.0,0.07826059999933932,0.7826059999933932,0.7826059999933932
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,chase,False,,0.0005209000082686543,529,529,0,48388,844,1600,0.5275,0.5275,0.15625,56,896,140,62,0.62,62,0.62,44,0.44,18,0.18,0.32142857142857145,0,0.0,0.05926389999513049,0.5926389999513049,0.5926389999513049
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,3.0,0.7079457843841379,100,syndrome,False,,0.0005209000082686543,529,529,0,48388,1344,1600,0.84,0.84,0.0,16,256,0,84,0.84,84,0.84,84,0.84,0,0.0,0.0,0,0.0,0.009347899991553277,0.09347899991553277,0.09347899991553277
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,3.0,0.7079457843841379,100,hard_mld,False,,0.0,,,,,421,1600,0.263125,0.263125,0.263125,100,1600,421,54,0.54,54,0.54,0,0.0,54,0.54,0.54,57,0.57,0.4105524000042351,4.105524000042351,4.105524000042351
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,3.0,0.7079457843841379,100,soft_mld,False,,0.0,,,,,178,1600,0.11125,0.11125,0.11125,100,1600,178,24,0.24,24,0.24,0,0.0,24,0.24,0.24,0,0.0,0.07223749998956919,0.7223749998956919,0.7223749998956919
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,3.0,0.7079457843841379,100,chase,False,,0.0005209000082686543,529,529,0,48388,636,1600,0.3975,0.3975,0.07307692307692308,65,1040,76,45,0.45,45,0.45,35,0.35,10,0.1,0.15384615384615385,0,0.0,0.03279359999578446,0.3279359999578446,0.3279359999578446
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,4.0,0.6309573444801932,100,syndrome,False,,0.0005209000082686543,529,529,0,48388,1248,1600,0.78,0.78,0.0,22,352,0,78,0.78,78,0.78,78,0.78,0,0.0,0.0,0,0.0,0.003711600002134219,0.03711600002134219,0.03711600002134219
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,4.0,0.6309573444801932,100,hard_mld,False,,0.0,,,,,359,1600,0.224375,0.224375,0.224375,100,1600,359,45,0.45,45,0.45,0,0.0,45,0.45,0.45,38,0.38,0.3943012999952771,3.9430129999527708,3.9430129999527708
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,4.0,0.6309573444801932,100,soft_mld,False,,0.0,,,,,112,1600,0.07,0.07,0.07,100,1600,112,15,0.15,15,0.15,0,0.0,15,0.15,0.15,0,0.0,0.08272999999462627,0.8272999999462627,0.8272999999462627
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,4.0,0.6309573444801932,100,chase,False,,0.0005209000082686543,529,529,0,48388,399,1600,0.249375,0.249375,0.025162337662337664,77,1232,31,27,0.27,27,0.27,23,0.23,4,0.04,0.05194805194805195,0,0.0,0.061659400002099574,0.6165940000209957,0.6165940000209957
