code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,syndrome,False,,0.00046720000682398677,529,529,0,48388,1504,1600,0.94,0.94,0.0,6,96,0,94,0.94,94,0.94,94,0.94,0,0.0,0.0,0,0.0,0.010804100005771033,0.10804100005771033,0.10804100005771033
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,hard_mld,False,,0.0,,,,,587,1600,0.366875,0.366875,0.366875,100,1600,587,73,0.73,73,0.73,0,0.0,73,0.73,0.73,62,0.62,0.4052921999973478,4.052921999973478,4.052921999973478
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,soft_mld,False,,0.0,,,,,339,1600,0.211875,0.211875,0.211875,100,1600,339,40,0.4,40,0.4,0,0.0,40,0.4,0.4,0,0.0,0.07718550000572577,0.7718550000572577,0.7718550000572577
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,0.0,1.0,100,chase,False,,0.00046720000682398677,529,529,0,48388,858,1600,0.53625,0.53625,0.15681818181818183,55,880,138,61,0.61,61,0.61,45,0.45,16,0.16,0.2909090909090909,0,0.0,0.059882600005948916,0.5988260000594892,0.5988260000594892
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,syndrome,False,,0.00046720000682398677,529,529,0,48388,1424,1600,0.89,0.89,0.0,11,176,0,89,0.89,89,0.89,89,0.89,0,0.0,0.0,0,0.0,0.00971130000834819,0.09711300008348189,0.09711300008348189
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,hard_mld,False,,0.0,,,,,476,1600,0.2975,0.2975,0.2975,100,1600,476,60,0.6,60,0.6,0,0.0,60,0.6,0.6,54,0.54,0.3983727999875555,3.983727999875555,3.983727999875555
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,soft_mld,False,,0.0,,,,,231,1600,0.144375,0.144375,0.144375,100,1600,231,27,0.27,27,0.27,0,0.0,27,0.27,0.27,0,0.0,0.07615750000695698,0.7615750000695698,0.7615750000695698
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,1.0,0.8912509381337456,100,chase,False,,0.00046720000682398677,529,529,0,48388,631,1600,0.394375,0.394375,0.12228260869565218,69,1104,135,47,0.47,47,0.47,31,0.31,16,0.16,0.2318840579710145,0,0.0,0.05700839999190066,0.5700839999190066,0.5700839999190066
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,syndrome,False,,0.00046720000682398677,529,529,0,48388,1280,1600,0.8,0.8,0.0,20,320,0,80,0.8,80,0.8,80,0.8,0,0.0,0.0,0,0.0,0.008706400010851212,0.08706400010851212,0.08706400010851212
wavelet_32_16_four_family,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,,,,,,,,8,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [32,16] construction",2,2,6,2.0,0.7943282347242815,100,hard_mld,False,,0.0,,,,,321,1600,0.200625,0.200625,0.200625,100,1600,321,39,0.39,39,0.39,0,0.0,39,0.39,0.39,37,0.37,0.38162929999816697,3.8162929999816697,3.8162929999816697
