[15:34:18] config m=6 dd=9 root=1: k_p=39 s=23 p=8
[15:34:18] cfg m6 dd9 r1 sample0: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample1: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample2: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample3: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample4: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample5: d_sh=9 -> d_final=6
[15:34:18] cfg m6 dd9 r1 sample6: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample7: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample8: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample9: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample10: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample11: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample12: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample13: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample14: d_sh=9 -> d_final=6
[15:34:19] cfg m6 dd9 r1 sample15: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample16: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample17: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample18: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample19: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample20: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample21: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample22: d_sh=9 -> d_final=6
[15:34:20] cfg m6 dd9 r1 sample23: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample24: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample25: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample26: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample27: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample28: d_sh=9 -> d_final=6
[15:34:21] cfg m6 dd9 r1 sample29: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample30: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample31: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample32: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample33: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample34: d_sh=9 -> d_final=6
[15:34:22] cfg m6 dd9 r1 sample35: d_sh=9 -> d_final=6
[15:34:23] cfg m6 dd9 r1 sample36: d_sh=9 -> d_final=6
[15:34:23] cfg m6 dd9 r1 sample37: d_sh=9 -> d_final=6
[15:34:23] cfg m6 dd9 r1 sample38: d_sh=9 -> d_final=6
[15:34:23] cfg m6 dd9 r1 sample39: d_sh=9 -> d_final=6
[15:34:23] cfg m6 dd9 r1 sample40: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample41: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample42: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample43: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample44: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample45: d_sh=9 -> d_final=6
[15:34:24] cfg m6 dd9 r1 sample46: d_sh=9 -> d_final=6
[15:34:25] cfg m6 dd9 r1 sample47: d_sh=9 -> d_final=6
[15:34:25] cfg m6 dd9 r1 sample48: d_sh=9 -> d_final=6
[15:34:25] cfg m6 dd9 r1 sample49: d_sh=9 -> d_final=6
[15:34:25] cfg m6 dd9 r1 sample50: d_sh=9 -> d_final=6
[15:34:25] cfg m6 dd9 r1 sample51: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample52: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample53: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample54: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample55: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample56: d_sh=9 -> d_final=6
[15:34:26] cfg m6 dd9 r1 sample57: d_sh=9 -> d_final=6
[15:34:27] cfg m6 dd9 r1 sample58: d_sh=9 -> d_final=6
[15:34:27] cfg m6 dd9 r1 sample59: d_sh=9 -> d_final=6
[15:34:27] config m=6 dd=11 root=1: k_p=36 s=20 p=11
[15:34:27] cfg m6 dd11 r1 sample0: d_sh=11 -> d_final=6
[15:34:27] cfg m6 dd11 r1 sample1: d_sh=11 -> d_final=6
[15:34:27] cfg m6 dd11 r1 sample2: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample3: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample4: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample5: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample6: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample7: d_sh=11 -> d_final=6
[15:34:28] cfg m6 dd11 r1 sample8: d_sh=11 -> d_final=6
[15:34:29] cfg m6 dd11 r1 sample9: d_sh=11 -> d_final=6
[15:34:29] cfg m6 dd11 r1 sample10: d_sh=11 -> d_final=6
[15:34:29] cfg m6 dd11 r1 sample11: d_sh=11 -> d_final=6
[15:34:29] cfg m6 dd11 r1 sample12: d_sh=11 -> d_final=6
[15:34:29] cfg m6 dd11 r1 sample13: d_sh=11 -> d_final=6
[15:34:30] cfg m6 dd11 r1 sample14: d_sh=11 -> d_final=6
[15:34:30] cfg m6 dd11 r1 sample15: d_sh=11 -> d_final=6
[15:34:30] cfg m6 dd11 r1 sample16: d_sh=11 -> d_final=6
[15:34:30] cfg m6 dd11 r1 sample17: d_sh=11 -> d_final=6
[15:34:30] cfg m6 dd11 r1 sample18: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample19: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample20: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample21: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample22: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample23: d_sh=11 -> d_final=6
[15:34:31] cfg m6 dd11 r1 sample24: d_sh=11 -> d_final=6
[15:34:32] cfg m6 dd11 r1 sample25: d_sh=11 -> d_final=6
[15:34:32] cfg m6 dd11 r1 sample26: d_sh=11 -> d_final=5
[15:34:32] cfg m6 dd11 r1 sample27: d_sh=11 -> d_final=6
[15:34:32] cfg m6 dd11 r1 sample28: d_sh=11 -> d_final=6
[15:34:32] cfg m6 dd11 r1 sample29: d_sh=11 -> d_final=6
[15:34:33] cfg m6 dd11 r1 sample30: d_sh=11 -> d_final=6
[15:34:33] cfg m6 dd11 r1 sample31: d_sh=11 -> d_final=5
[15:34:33] cfg m6 dd11 r1 sample32: d_sh=11 -> d_final=6
[15:34:33] cfg m6 dd11 r1 sample33: d_sh=11 -> d_final=6
[15:34:33] cfg m6 dd11 r1 sample34: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample35: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample36: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample37: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample38: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample39: d_sh=11 -> d_final=6
[15:34:34] cfg m6 dd11 r1 sample40: d_sh=11 -> d_final=6
[15:34:35] cfg m6 dd11 r1 sample41: d_sh=11 -> d_final=6
[15:34:35] cfg m6 dd11 r1 sample42: d_sh=11 -> d_final=6
[15:34:35] cfg m6 dd11 r1 sample43: d_sh=11 -> d_final=6
[15:34:35] cfg m6 dd11 r1 sample44: d_sh=11 -> d_final=6
[15:34:35] cfg m6 dd11 r1 sample45: d_sh=11 -> d_final=6
[15:34:36] cfg m6 dd11 r1 sample46: d_sh=11 -> d_final=6
[15:34:36] cfg m6 dd11 r1 sample47: d_sh=11 -> d_final=6
[15:34:36] cfg m6 dd11 r1 sample48: d_sh=11 -> d_final=6
[15:34:36] cfg m6 dd11 r1 sample49: d_sh=11 -> d_final=6
[15:34:36] cfg m6 dd11 r1 sample50: d_sh=11 -> d_final=6
[15:34:37] cfg m6 dd11 r1 sample51: d_sh=11 -> d_final=6
[15:34:37] cfg m6 dd11 r1 sample52: d_sh=11 -> d_final=6
[15:34:37] cfg m6 dd11 r1 sample53: d_sh=11 -> d_final=6
[15:34:37] cfg m6 dd11 r1 sample54: d_sh=11 -> d_final=6
[15:34:37] cfg m6 dd11 r1 sample55: d_sh=11 -> d_final=6
[15:34:38] cfg m6 dd11 r1 sample56: d_sh=11 -> d_final=6
[15:34:38] cfg m6 dd11 r1 sample57: d_sh=11 -> d_final=6
[15:34:38] cfg m6 dd11 r1 sample58: d_sh=11 -> d_final=6
[15:34:38] cfg m6 dd11 r1 sample59: d_sh=11 -> d_final=6
[15:34:38] config m=6 dd=9 root=5: k_p=30 s=14 p=17
[15:34:38] cfg m6 dd9 r5 sample0: d_sh=13 -> d_final=6
[15:34:38] cfg m6 dd9 r5 sample1: d_sh=13 -> d_final=6
[15:34:39] cfg m6 dd9 r5 sample2: d_sh=13 -> d_final=6
[15:34:39] cfg m6 dd9 r5 sample3: d_sh=13 -> d_final=5
[15:34:39] cfg m6 dd9 r5 sample4: d_sh=13 -> d_final=5
[15:34:39] cfg m6 dd9 r5 sample5: d_sh=13 -> d_final=4
[15:34:39] cfg m6 dd9 r5 sample6: d_sh=13 -> d_final=6
[15:34:40] cfg m6 dd9 r5 sample7: d_sh=13 -> d_final=6
[15:34:40] cfg m6 dd9 r5 sample8: d_sh=13 -> d_final=5
[15:34:40] cfg m6 dd9 r5 sample9: d_sh=13 -> d_final=6
[15:34:40] cfg m6 dd9 r5 sample10: d_sh=13 -> d_final=5
[15:34:41] cfg m6 dd9 r5 sample11: d_sh=13 -> d_final=6
[15:34:41] cfg m6 dd9 r5 sample12: d_sh=13 -> d_final=6
[15:34:41] cfg m6 dd9 r5 sample13: d_sh=13 -> d_final=5
[15:34:41] cfg m6 dd9 r5 sample14: d_sh=13 -> d_final=4
[15:34:41] cfg m6 dd9 r5 sample15: d_sh=13 -> d_final=6
[15:34:42] cfg m6 dd9 r5 sample16: d_sh=13 -> d_final=6
[15:34:42] cfg m6 dd9 r5 sample17: d_sh=13 -> d_final=5
[15:34:42] cfg m6 dd9 r5 sample18: d_sh=13 -> d_final=5
[15:34:42] cfg m6 dd9 r5 sample19: d_sh=13 -> d_final=5
[15:34:42] cfg m6 dd9 r5 sample20: d_sh=13 -> d_final=6
[15:34:43] cfg m6 dd9 r5 sample21: d_sh=13 -> d_final=5
[15:34:43] cfg m6 dd9 r5 sample22: d_sh=13 -> d_final=6
[15:34:43] cfg m6 dd9 r5 sample23: d_sh=13 -> d_final=6
[15:34:43] cfg m6 dd9 r5 sample24: d_sh=13 -> d_final=6
[15:34:43] cfg m6 dd9 r5 sample25: d_sh=13 -> d_final=6
[15:34:44] cfg m6 dd9 r5 sample26: d_sh=13 -> d_final=6
[15:34:44] cfg m6 dd9 r5 sample27: d_sh=13 -> d_final=5
[15:34:44] cfg m6 dd9 r5 sample28: d_sh=13 -> d_final=6
