code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,2.0,0.7943282347242815,200,syndrome,False,,0.00010199999996984843,137,137,0,12360,264,1600,0.165,0.165,0.03468208092485549,173,1384,48,40,0.2,40,0.2,27,0.135,13,0.065,0.07514450867052024,0,0.0,0.001247999999577587,0.006239999997887935,0.006239999997887935
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,2.0,0.7943282347242815,200,hard_mld,False,,0.0,,,,,131,1600,0.081875,0.081875,0.081875,200,1600,131,33,0.165,33,0.165,0,0.0,33,0.165,0.165,27,0.135,0.0013773000000583124,0.006886500000291562,0.006886500000291562
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,2.0,0.7943282347242815,200,soft_mld,False,,0.0,,,,,36,1600,0.0225,0.0225,0.0225,200,1600,36,9,0.045,9,0.045,0,0.0,9,0.045,0.045,0,0.0,0.0007418999994115438,0.003709499997057719,0.003709499997057719
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,2.0,0.7943282347242815,200,chase,False,,0.00010199999996984843,137,137,0,12360,36,1600,0.0225,0.0225,0.0225,200,1600,36,9,0.045,9,0.045,0,0.0,9,0.045,0.045,0,0.0,0.01558400000067195,0.07792000000335975,0.07792000000335975
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,3.0,0.7079457843841379,200,syndrome,False,,0.00010199999996984843,137,137,0,12360,154,1600,0.09625,0.09625,0.017663043478260868,184,1472,26,23,0.115,23,0.115,16,0.08,7,0.035,0.03804347826086957,0,0.0,0.0012311000000408967,0.0061555000002044835,0.0061555000002044835
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,3.0,0.7079457843841379,200,hard_mld,False,,0.0,,,,,65,1600,0.040625,0.040625,0.040625,200,1600,65,17,0.085,17,0.085,0,0.0,17,0.085,0.085,16,0.08,0.001519200000075216,0.00759600000037608,0.00759600000037608
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,3.0,0.7079457843841379,200,soft_mld,False,,0.0,,,,,7,1600,0.004375,0.004375,0.004375,200,1600,7,3,0.015,3,0.015,0,0.0,3,0.015,0.015,0,0.0,0.0005599999994956306,0.002799999997478153,0.002799999997478153
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,3.0,0.7079457843841379,200,chase,False,,0.00010199999996984843,137,137,0,12360,11,1600,0.006875,0.006875,0.006875,200,1600,11,4,0.02,4,0.02,0,0.0,4,0.02,0.02,0,0.0,0.013968600000225706,0.06984300000112853,0.06984300000112853
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,4.0,0.6309573444801932,200,syndrome,False,,0.00010199999996984843,137,137,0,12360,65,1600,0.040625,0.040625,0.0006510416666666666,192,1536,1,9,0.045,9,0.045,8,0.04,1,0.005,0.005208333333333333,0,0.0,0.0011655999996946775,0.005827999998473388,0.005827999998473388
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,4.0,0.6309573444801932,200,hard_mld,False,,0.0,,,,,18,1600,0.01125,0.01125,0.01125,200,1600,18,5,0.025,5,0.025,0,0.0,5,0.025,0.025,8,0.04,0.0015100999999049236,0.007550499999524618,0.007550499999524618
