code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.0,1.0,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,5900,8000,0.7375,0.7375,0.09482758620689655,145,2320,220,383,0.766,383,0.766,355,0.71,28,0.056,0.19310344827586207,0,0.0,0.11201269994489849,0.22402539988979697,0.22402539988979697
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.0,1.0,500,hard_mld,False,,0.0,,,,,2301,8000,0.287625,0.287625,0.287625,500,8000,2301,299,0.598,299,0.598,0,0.0,299,0.598,0.598,253,0.506,1.7910963001195341,3.5821926002390683,3.5821926002390683
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.0,1.0,500,soft_mld,False,,0.0,,,,,1144,8000,0.143,0.143,0.143,500,8000,1144,144,0.288,144,0.288,0,0.0,144,0.288,0.288,1,0.002,0.4814538999926299,0.9629077999852598,0.9629077999852598
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.0,1.0,500,chase,False,,0.003855800023302436,5489,5489,0,606228,1263,8000,0.157875,0.157875,0.1527917505030181,497,7952,1215,158,0.316,158,0.316,3,0.006,155,0.31,0.3118712273641851,0,0.0,6.112846300005913,12.225692600011826,12.225692600011826
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.5,0.9440608762859234,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,5497,8000,0.687125,0.687125,0.06324850299401198,167,2672,169,354,0.708,354,0.708,333,0.666,21,0.042,0.12574850299401197,0,0.0,0.11991939996369183,0.23983879992738366,0.23983879992738366
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.5,0.9440608762859234,500,hard_mld,False,,0.0,,,,,1996,8000,0.2495,0.2495,0.2495,500,8000,1996,262,0.524,262,0.524,0,0.0,262,0.524,0.524,240,0.48,2.1599830000195652,4.3199660000391304,4.3199660000391304
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.5,0.9440608762859234,500,soft_mld,False,,0.0,,,,,786,8000,0.09825,0.09825,0.09825,500,8000,786,99,0.198,99,0.198,0,0.0,99,0.198,0.198,0,0.0,0.4270824999548495,0.854164999909699,0.854164999909699
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,0.5,0.9440608762859234,500,chase,False,,0.003855800023302436,5489,5489,0,606228,897,8000,0.112125,0.112125,0.10855923694779117,498,7968,865,114,0.228,114,0.228,2,0.004,112,0.224,0.2248995983935743,0,0.0,6.840497100027278,13.680994200054556,13.680994200054556
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.0,0.8912509381337456,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,4812,8000,0.6015,0.6015,0.032766990291262135,206,3296,108,307,0.614,307,0.614,294,0.588,13,0.026,0.06310679611650485,0,0.0,0.1625173999927938,0.3250347999855876,0.3250347999855876
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.0,0.8912509381337456,500,hard_mld,False,,0.0,,,,,1579,8000,0.197375,0.197375,0.197375,500,8000,1579,209,0.418,209,0.418,0,0.0,209,0.418,0.418,215,0.43,1.9548210999928415,3.909642199985683,3.909642199985683
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.0,0.8912509381337456,500,soft_mld,False,,0.0,,,,,552,8000,0.069,0.069,0.069,500,8000,552,70,0.14,70,0.14,0,0.0,70,0.14,0.14,0,0.0,0.4631743999198079,0.9263487998396158,0.9263487998396158
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.0,0.8912509381337456,500,chase,False,,0.003855800023302436,5489,5489,0,606228,686,8000,0.08575,0.08575,0.08023138832997988,497,7952,638,82,0.164,82,0.164,3,0.006,79,0.158,0.158953722334004,0,0.0,7.477354099974036,14.954708199948072,14.954708199948072
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.5,0.8413951416451951,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,3887,8000,0.485875,0.485875,0.022576045627376425,263,4208,95,248,0.496,248,0.496,237,0.474,11,0.022,0.04182509505703422,0,0.0,0.17273820005357265,0.3454764001071453,0.3454764001071453
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.5,0.8413951416451951,500,hard_mld,False,,0.0,,,,,1283,8000,0.160375,0.160375,0.160375,500,8000,1283,169,0.338,169,0.338,0,0.0,169,0.338,0.338,180,0.36,1.8565499000251293,3.7130998000502586,3.7130998000502586
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.5,0.8413951416451951,500,soft_mld,False,,0.0,,,,,280,8000,0.035,0.035,0.035,500,8000,280,35,0.07,35,0.07,0,0.0,35,0.07,0.07,0,0.0,0.4568054999690503,0.9136109999381006,0.9136109999381006
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,1.5,0.8413951416451951,500,chase,False,,0.003855800023302436,5489,5489,0,606228,426,8000,0.05325,0.05325,0.04944779116465863,498,7968,394,50,0.1,50,0.1,2,0.004,48,0.096,0.0963855421686747,0,0.0,7.850914099952206,15.701828199904414,15.701828199904414
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.0,0.7943282347242815,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,3094,8000,0.38675,0.38675,0.014067524115755627,311,4976,70,197,0.394,197,0.394,189,0.378,8,0.016,0.02572347266881029,0,0.0,0.273247400065884,0.546494800131768,0.546494800131768
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.0,0.7943282347242815,500,hard_mld,False,,0.0,,,,,957,8000,0.119625,0.119625,0.119625,500,8000,957,122,0.244,122,0.244,0,0.0,122,0.244,0.244,135,0.27,1.7226876001805067,3.4453752003610134,3.4453752003610134
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.0,0.7943282347242815,500,soft_mld,False,,0.0,,,,,172,8000,0.0215,0.0215,0.0215,500,8000,172,21,0.042,21,0.042,0,0.0,21,0.042,0.042,0,0.0,0.4858725001104176,0.9717450002208352,0.9717450002208352
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.0,0.7943282347242815,500,chase,False,,0.003855800023302436,5489,5489,0,606228,229,8000,0.028625,0.028625,0.026678356713426853,499,7984,213,27,0.054,27,0.054,1,0.002,26,0.052,0.052104208416833664,0,0.0,9.30964559991844,18.61929119983688,18.61929119983688
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.5,0.7498942093324559,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,2301,8000,0.287625,0.287625,0.010590277777777778,360,5760,61,147,0.294,147,0.294,140,0.28,7,0.014,0.019444444444444445,0,0.0,0.21100390003994107,0.42200780007988214,0.42200780007988214
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.5,0.7498942093324559,500,hard_mld,False,,0.0,,,,,757,8000,0.094625,0.094625,0.094625,500,8000,757,97,0.194,97,0.194,0,0.0,97,0.194,0.194,105,0.21,1.658153499942273,3.316306999884546,3.316306999884546
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.5,0.7498942093324559,500,soft_mld,False,,0.0,,,,,107,8000,0.013375,0.013375,0.013375,500,8000,107,13,0.026,13,0.026,0,0.0,13,0.026,0.026,0,0.0,0.46800249977968633,0.9360049995593727,0.9360049995593727
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,2.5,0.7498942093324559,500,chase,False,,0.003855800023302436,5489,5489,0,606228,120,8000,0.015,0.015,0.015,500,8000,120,15,0.03,15,0.03,0,0.0,15,0.03,0.03,0,0.0,9.377865700051188,18.755731400102377,18.755731400102377
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.0,0.7079457843841379,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,1668,8000,0.2085,0.2085,0.005653266331658292,398,6368,36,106,0.212,106,0.212,102,0.204,4,0.008,0.010050251256281407,0,0.0,0.2242067998740822,0.4484135997481644,0.4484135997481644
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.0,0.7079457843841379,500,hard_mld,False,,0.0,,,,,525,8000,0.065625,0.065625,0.065625,500,8000,525,66,0.132,66,0.132,0,0.0,66,0.132,0.132,75,0.15,1.7539358001668006,3.5078716003336012,3.5078716003336012
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.0,0.7079457843841379,500,soft_mld,False,,0.0,,,,,35,8000,0.004375,0.004375,0.004375,500,8000,35,4,0.008,4,0.008,0,0.0,4,0.008,0.008,0,0.0,0.4615015999879688,0.9230031999759376,0.9230031999759376
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.0,0.7079457843841379,500,chase,False,,0.003855800023302436,5489,5489,0,606228,71,8000,0.008875,0.008875,0.008875,500,8000,71,9,0.018,9,0.018,0,0.0,9,0.018,0.018,0,0.0,10.379998000105843,20.759996000211686,20.759996000211686
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.5,0.6683439175686147,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,1051,8000,0.131375,0.131375,0.0038704128440366975,436,6976,27,67,0.134,67,0.134,64,0.128,3,0.006,0.006880733944954129,0,0.0,0.25426320009864867,0.5085264001972973,0.5085264001972973
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.5,0.6683439175686147,500,hard_mld,False,,0.0,,,,,287,8000,0.035875,0.035875,0.035875,500,8000,287,38,0.076,38,0.076,0,0.0,38,0.076,0.076,44,0.088,1.7605117000639439,3.5210234001278877,3.5210234001278877
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.5,0.6683439175686147,500,soft_mld,False,,0.0,,,,,9,8000,0.001125,0.001125,0.001125,500,8000,9,1,0.002,1,0.002,0,0.0,1,0.002,0.002,0,0.0,0.4705058999825269,0.9410117999650538,0.9410117999650538
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,3.5,0.6683439175686147,500,chase,False,,0.003855800023302436,5489,5489,0,606228,33,8000,0.004125,0.004125,0.002129258517034068,499,7984,17,3,0.006,3,0.006,1,0.002,2,0.004,0.004008016032064128,0,0.0,11.475561999948695,22.95112399989739,22.95112399989739
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.0,0.6309573444801932,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,699,8000,0.087375,0.087375,0.0036844978165938864,458,7328,27,45,0.09,45,0.09,42,0.084,3,0.006,0.006550218340611353,0,0.0,0.2802996998652816,0.5605993997305632,0.5605993997305632
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.0,0.6309573444801932,500,hard_mld,False,,0.0,,,,,176,8000,0.022,0.022,0.022,500,8000,176,24,0.048,24,0.048,0,0.0,24,0.048,0.048,28,0.056,1.8634939999319613,3.7269879998639226,3.7269879998639226
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.0,0.6309573444801932,500,soft_mld,False,,0.0,,,,,9,8000,0.001125,0.001125,0.001125,500,8000,9,1,0.002,1,0.002,0,0.0,1,0.002,0.002,0,0.0,0.4802118001971394,0.9604236003942788,0.9604236003942788
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.0,0.6309573444801932,500,chase,False,,0.003855800023302436,5489,5489,0,606228,9,8000,0.001125,0.001125,0.001125,500,8000,9,1,0.002,1,0.002,0,0.0,1,0.002,0.002,0,0.0,13.711533700115979,27.423067400231957,27.423067400231957
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.5,0.5956621435290105,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,499,8000,0.062375,0.062375,0.0025265957446808512,470,7520,19,32,0.064,32,0.064,30,0.06,2,0.004,0.00425531914893617,0,0.0,0.4001122999470681,0.8002245998941362,0.8002245998941362
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.5,0.5956621435290105,500,hard_mld,False,,0.0,,,,,96,8000,0.012,0.012,0.012,500,8000,96,14,0.028,14,0.028,0,0.0,14,0.028,0.028,18,0.036,1.8066191000398248,3.6132382000796497,3.6132382000796497
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.5,0.5956621435290105,500,soft_mld,False,,0.0,,,,,0,8000,0.0,0.0,0.0,500,8000,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.4926046000327915,0.985209200065583,0.985209200065583
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,4.5,0.5956621435290105,500,chase,False,,0.003855800023302436,5489,5489,0,606228,0,8000,0.0,0.0,0.0,500,8000,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,14.352190299890935,28.70438059978187,28.70438059978187
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,5.0,0.5623413251903491,500,syndrome,False,,0.003855800023302436,5489,5489,0,606228,202,8000,0.02525,0.02525,0.0012807377049180327,488,7808,10,13,0.026,13,0.026,12,0.024,1,0.002,0.0020491803278688526,0,0.0,0.29122839984484017,0.5824567996896803,0.5824567996896803
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,5.0,0.5623413251903491,500,hard_mld,False,,0.0,,,,,50,8000,0.00625,0.00625,0.00625,500,8000,50,8,0.016,8,0.016,0,0.0,8,0.016,0.016,10,0.02,1.8865390999708325,3.773078199941665,3.773078199941665
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,5.0,0.5623413251903491,500,soft_mld,False,,0.0,,,,,0,8000,0.0,0.0,0.0,500,8000,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.5211102000903338,1.0422204001806676,1.0422204001806676
wavelet_32_16,wavelet,32,16,0.5,1 0 0 0 0 0 0 0 1 1,0 1 0 0 1 1 0 1 0 1,,,,,,,8,3,3,6,5.0,0.5623413251903491,500,chase,False,,0.003855800023302436,5489,5489,0,606228,0,8000,0.0,0.0,0.0,500,8000,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,13.592956400010735,27.18591280002147,27.18591280002147
bch_derived_32_16,bch_derived,32,16,0.5,,,6,7,1,,29,2,,2,2,5,0.0,1.0,500,syndrome,False,,0.000613899901509285,529,529,0,48388,7360,8000,0.92,0.92,0.0,40,640,0,460,0.92,460,0.92,460,0.92,0,0.0,0.0,0,0.0,0.0448589997831732,0.0897179995663464,0.0897179995663464
bch_derived_32_16,bch_derived,32,16,0.5,,,6,7,1,,29,2,,2,2,5,0.0,1.0,500,hard_mld,False,,0.0,,,,,1390,8000,0.17375,0.17375,0.17375,500,8000,1390,313,0.626,313,0.626,0,0.0,313,0.626,0.626,208,0.416,1.8883001001086086,3.776600200217217,3.776600200217217
bch_derived_32_16,bch_derived,32,16,0.5,,,6,7,1,,29,2,,2,2,5,0.0,1.0,500,soft_mld,False,,0.0,,,,,755,8000,0.094375,0.094375,0.094375,500,8000,755,174,0.348,174,0.348,0,0.0,174,0.348,0.348,0,0.0,0.4677887998986989,0.9355775997973979,0.9355775997973979
bch_derived_32_16,bch_derived,32,16,0.5,,,6,7,1,,29,2,,2,2,5,0.0,1.0,500,chase,False,,0.000613899901509285,529,529,0,48388,4379,8000,0.547375,0.547375,0.05703125,240,3840,219,316,0.632,316,0.632,260,0.52,56,0.112,0.23333333333333334,0,0.0,1.5748465000651777,3.1496930001303554,3.1496930001303554
bch_derived_32_16,bch_derived,32,16,0.5,,,6,7,1,,29,2,,2,2,5,0.5,0.9440608762859234,500,syndrome,False,,0.000613899901509285,529,529,0,48388,6933,8000,0.866625,0.866625,0.0046641791044776115,67,1072,5,434,0.868,434,0.868,433,0.866,1,0.002,0.014925373134328358,0,0.0,0.051057100063189864,0.10211420012637973,0.10211420012637973
