code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,0.0,1.0,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,15872,16000,0.992,0.992,0.0,4,128,0,496,0.992,496,0.992,496,0.992,0,0.0,0.0,0,0.0,0.02660250011831522,0.05320500023663044,0.05320500023663044
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,0.0,1.0,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,15168,16000,0.948,0.948,0.0,26,832,0,474,0.948,474,0.948,474,0.948,0,0.0,0.0,0,0.0,1.5983021000865847,3.1966042001731694,3.1966042001731694
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,0.5,0.9440608762859234,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,15744,16000,0.984,0.984,0.0,8,256,0,492,0.984,492,0.984,492,0.984,0,0.0,0.0,0,0.0,0.029108300106599927,0.058216600213199854,0.058216600213199854
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,0.5,0.9440608762859234,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,14272,16000,0.892,0.892,0.0,54,1728,0,446,0.892,446,0.892,446,0.892,0,0.0,0.0,0,0.0,3.3011733000166714,6.602346600033343,6.602346600033343
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,1.0,0.8912509381337456,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,15520,16000,0.97,0.97,0.0,15,480,0,485,0.97,485,0.97,485,0.97,0,0.0,0.0,0,0.0,0.09182339999824762,0.18364679999649525,0.18364679999649525
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,1.0,0.8912509381337456,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,13088,16000,0.818,0.818,0.0,91,2912,0,409,0.818,409,0.818,409,0.818,0,0.0,0.0,0,0.0,4.99680530000478,9.99361060000956,9.99361060000956
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,1.5,0.8413951416451951,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,15072,16000,0.942,0.942,0.0,29,928,0,471,0.942,471,0.942,471,0.942,0,0.0,0.0,0,0.0,0.12061029998585582,0.24122059997171164,0.24122059997171164
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,1.5,0.8413951416451951,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,11616,16000,0.726,0.726,0.0,137,4384,0,363,0.726,363,0.726,363,0.726,0,0.0,0.0,0,0.0,6.173979799961671,12.347959599923342,12.347959599923342
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,2.0,0.7943282347242815,500,syndrome,False,,0.026982099981978536,43745,43745,0,5390052,14592,16000,0.912,0.912,0.0,44,1408,0,456,0.912,456,0.912,456,0.912,0,0.0,0.0,0,0.0,0.17548229987733066,0.3509645997546613,0.3509645997546613
wavelet_64_32_equal_t3,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,3,3,6,2.0,0.7943282347242815,500,chase,False,,0.026982099981978536,43745,43745,0,5390052,9792,16000,0.612,0.612,0.0,194,6208,0,306,0.612,306,0.612,306,0.612,0,0.0,0.0,0,0.0,8.019274299964309,16.038548599928617,16.038548599928617
