code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,2.0,0.7943282347242815,64,syndrome,False,,9.059999138116837e-05,137,137,0,12360,93,512,0.181640625,0.181640625,0.01179245283018868,53,424,5,12,0.1875,12,0.1875,11,0.171875,1,0.015625,0.018867924528301886,0,0.0,0.0007724000024609268,0.01206875003845198,0.01206875003845198
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,3.0,0.7079457843841379,64,syndrome,False,,9.059999138116837e-05,137,137,0,12360,53,512,0.103515625,0.103515625,0.010775862068965518,58,464,5,7,0.109375,7,0.109375,6,0.09375,1,0.015625,0.017241379310344827,0,0.0,0.0007425000076182187,0.011601562619034667,0.011601562619034667
bch_derived_16_8_four_family,bch_derived,16,8,0.5,,,5,11,1,,3,12,,,,,,,,5,5,5,5,"BCH(31,11,d>=11) -> shorten 3 -> [28,8] -> optimized puncture 12 -> [16,8]; exhaustive search over 125970 parity selections; exact enumeration of all 2^8 codewords gives d_min=5",2,2,4,2.0,0.7943282347242815,64,syndrome,False,,9.320001117885113e-05,137,137,0,12360,57,512,0.111328125,0.111328125,0.01939655172413793,58,464,9,11,0.171875,11,0.171875,6,0.09375,5,0.078125,0.08620689655172414,0,0.0,0.0005255999858491123,0.00821249977889238,0.00821249977889238
bch_derived_16_8_four_family,bch_derived,16,8,0.5,,,5,11,1,,3,12,,,,,,,,5,5,5,5,"BCH(31,11,d>=11) -> shorten 3 -> [28,8] -> optimized puncture 12 -> [16,8]; exhaustive search over 125970 parity selections; exact enumeration of all 2^8 codewords gives d_min=5",2,2,4,3.0,0.7079457843841379,64,syndrome,False,,9.320001117885113e-05,137,137,0,12360,32,512,0.0625,0.0625,0.01639344262295082,61,488,8,8,0.125,8,0.125,3,0.046875,5,0.078125,0.08196721311475409,0,0.0,0.0005586000042967498,0.008728125067136716,0.008728125067136716
goppa_derived_16_8_four_family,goppa_derived,16,8,0.5,,,,,,,,,4,2,,,,,,,5,5,5,exact enumeration of all 2^8 codewords,2,2,4,2.0,0.7943282347242815,64,syndrome,False,,8.440000237897038e-05,137,137,0,12360,71,512,0.138671875,0.138671875,0.015625,56,448,7,11,0.171875,11,0.171875,8,0.125,3,0.046875,0.05357142857142857,0,0.0,0.0005382000235840678,0.00840937536850106,0.00840937536850106
goppa_derived_16_8_four_family,goppa_derived,16,8,0.5,,,,,,,,,4,2,,,,,,,5,5,5,exact enumeration of all 2^8 codewords,2,2,4,3.0,0.7079457843841379,64,syndrome,False,,8.440000237897038e-05,137,137,0,12360,27,512,0.052734375,0.052734375,0.006147540983606557,61,488,3,5,0.078125,5,0.078125,3,0.046875,2,0.03125,0.03278688524590164,0,0.0,0.0005322999786585569,0.008317187166539952,0.008317187166539952
reed_solomon_binary_16_8_four_family,reed_solomon_binary,16,8,0.5,,,,,,,,,,,4,4,2,0 1 2 3,1 3 1 3,,5,5,5,Exhaustive enumeration of all 255 non-zero GRS binary codewords,2,2,4,2.0,0.7943282347242815,64,syndrome,False,,7.119996007531881e-05,137,137,0,12360,98,512,0.19140625,0.19140625,0.02358490566037736,53,424,10,15,0.234375,15,0.234375,11,0.171875,4,0.0625,0.07547169811320754,0,0.0,0.0006326999864540994,0.009885937288345303,0.009885937288345303
reed_solomon_binary_16_8_four_family,reed_solomon_binary,16,8,0.5,,,,,,,,,,,4,4,2,0 1 2 3,1 3 1 3,,5,5,5,Exhaustive enumeration of all 255 non-zero GRS binary codewords,2,2,4,3.0,0.7079457843841379,64,syndrome,False,,7.119996007531881e-05,137,137,0,12360,51,512,0.099609375,0.099609375,0.00646551724137931,58,464,3,7,0.109375,7,0.109375,6,0.09375,1,0.015625,0.017241379310344827,0,0.0,0.0005678000161424279,0.008871875252225436,0.008871875252225436
ldpc_16_8_five_family,ldpc,16,8,0.5,,,,,,,,,,,,,,,,,5,5,5,"Exact d_min=5 by exhaustive enumeration of all 2^8 codewords of the frozen H (row weights 5-6, column weights 2-3, density 0.336)",2,2,4,2.0,0.7943282347242815,64,syndrome,False,,7.110001752153039e-05,137,137,0,12360,67,512,0.130859375,0.130859375,0.006696428571428571,56,448,3,10,0.15625,10,0.15625,8,0.125,2,0.03125,0.03571428571428571,0,0.0,0.0007194000063464046,0.011240625099162571,0.011240625099162571
ldpc_16_8_five_family,ldpc,16,8,0.5,,,,,,,,,,,,,,,,,5,5,5,"Exact d_min=5 by exhaustive enumeration of all 2^8 codewords of the frozen H (row weights 5-6, column weights 2-3, density 0.336)",2,2,4,3.0,0.7079457843841379,64,syndrome,False,,7.110001752153039e-05,137,137,0,12360,19,512,0.037109375,0.037109375,0.006048387096774193,62,496,3,3,0.046875,3,0.046875,2,0.03125,1,0.015625,0.016129032258064516,0,0.0,0.0007774000405333936,0.012146875633334275,0.012146875633334275
