code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.0,1.0,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,636060,640000,0.99384375,0.99384375,0.015,125,4000,60,19878,0.9939,19878,0.9939,19875,0.99375,3,0.00015,0.024,0,0.0,0.2087716000387445,0.010438580001937226,0.010438580001937226
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,0.5,0.9440608762859234,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,632000,640000,0.9875,0.9875,0.0,250,8000,0,19750,0.9875,19750,0.9875,19750,0.9875,0,0.0,0.0,0,0.0,0.24203349999152124,0.01210167499957606,0.01210167499957606
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,1.0,0.8912509381337456,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,624032,640000,0.97505,0.97505,0.0,499,15968,0,19501,0.97505,19501,0.97505,19501,0.97505,0,0.0,0.0,0,0.0,0.21190110000316054,0.010595055000158027,0.010595055000158027
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,1.5,0.8413951416451951,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,609558,640000,0.952434375,0.952434375,0.0007221638655462185,952,30464,22,19049,0.95245,19049,0.95245,19048,0.9524,1,5e-05,0.0010504201680672268,0,0.0,0.2144069000496529,0.010720345002482645,0.010720345002482645
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,2.0,0.7943282347242815,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,583990,640000,0.912484375,0.912484375,0.00039263278126784693,1751,56032,22,18250,0.9125,18250,0.9125,18249,0.91245,1,5e-05,0.0005711022272986865,0,0.0,0.22010299999965355,0.011005149999982677,0.011005149999982677
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,2.5,0.7498942093324559,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,541088,640000,0.84545,0.84545,0.0,3091,98912,0,16909,0.84545,16909,0.84545,16909,0.84545,0,0.0,0.0,0,0.0,0.206840300001204,0.0103420150000602,0.0103420150000602
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,3.0,0.7079457843841379,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,482880,640000,0.7545,0.7545,0.00040716612377850165,4912,157184,64,15091,0.75455,15091,0.75455,15088,0.7544,3,0.00015,0.0006107491856677524,0,0.0,0.21644869999727234,0.010822434999863616,0.010822434999863616
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,3.5,0.6683439175686147,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,407724,640000,0.63706875,0.63706875,0.0004647480033048747,7262,232384,108,12743,0.63715,12743,0.63715,12738,0.6369,5,0.00025,0.0006885155604516662,0,0.0,0.22675689996685833,0.011337844998342917,0.011337844998342917
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,4.0,0.6309573444801932,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,318370,640000,0.497453125,0.497453125,0.00020516263801850193,10053,321696,66,9950,0.4975,9950,0.4975,9947,0.49735,3,0.00015,0.0002984183825723665,0,0.0,0.22377300000516698,0.011188650000258349,0.011188650000258349
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,4.5,0.5956621435290105,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,225164,640000,0.35181875,0.35181875,0.00010605476282298497,12965,414880,44,7037,0.35185,7037,0.35185,7035,0.35175,2,0.0001,0.00015426147319706903,0,0.0,0.23193489998811856,0.011596744999405929,0.011596744999405929
wavelet_64_32_four_family,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,,,,,,,,,,,8,8,8,"Exact binary d_min=8 verified for the fixed Wavelet [64,32] construction",3,3,8,5.0,0.5623413251903491,20000,syndrome,False,,0.030052300018724054,43745,43745,0,5390052,144064,640000,0.2251,0.2251,0.0,15498,495936,0,4502,0.2251,4502,0.2251,4502,0.2251,0,0.0,0.0,0,0.0,0.23919930000556633,0.011959965000278317,0.011959965000278317
bch_derived_64_32_four_family,bch_derived,64,32,0.5,,,7,11,1,,60,3,,,,,,,,,,9,10,"Verified binary distance interval 9 <= d_min <= 10 for the fixed BCH-derived [64,32] construction",3,3,8,0.0,1.0,20000,syndrome,False,,0.031479000055696815,43745,43745,0,5378480,636608,640000,0.9947,0.9947,0.0,106,3392,0,19894,0.9947,19894,0.9947,19894,0.9947,0,0.0,0.0,0,0.0,0.18844289996195585,0.009422144998097792,0.009422144998097792
