code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,goppa_m,goppa_degree,reed_solomon_m,reed_solomon_symbol_n,reed_solomon_symbol_k,reed_solomon_evaluation_points,reed_solomon_column_multipliers,expected_min_distance,minimum_distance_exact,minimum_distance_lower_bound,minimum_distance_upper_bound,distance_evidence,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.0,1.0,20000,syndrome,False,,0.0001216000528074801,137,137,0,12360,56819,160000,0.35511875,0.35511875,0.12605874779780457,14758,118064,14883,9503,0.47515,9503,0.47515,5242,0.2621,4261,0.21305,0.2887247594525003,0,0.0,0.061419100034981966,0.003070955001749098,0.003070955001749098
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.0,1.0,20000,hard_mld,False,,0.0,,,,,32041,160000,0.20025625,0.20025625,0.20025625,20000,160000,32041,8533,0.42665,8533,0.42665,0,0.0,8533,0.42665,0.42665,5242,0.2621,0.17016410001087934,0.008508205000543967,0.008508205000543967
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.0,1.0,20000,soft_mld,False,,0.0,,,,,17546,160000,0.1096625,0.1096625,0.1096625,20000,160000,17546,4763,0.23815,4763,0.23815,0,0.0,4763,0.23815,0.23815,2,0.0001,0.03240770002594218,0.0016203850012971087,0.0016203850012971087
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.0,1.0,20000,chase,False,,0.0001216000528074801,137,137,0,12360,17787,160000,0.11116875,0.11116875,0.11116875,20000,160000,17787,4828,0.2414,4828,0.2414,0,0.0,4828,0.2414,0.2414,1,5e-05,1.3587870000046678,0.06793935000023339,0.06793935000023339
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.5,0.9440608762859234,20000,syndrome,False,,0.0001216000528074801,137,137,0,12360,49216,160000,0.3076,0.3076,0.10363130299695773,15449,123592,12808,8243,0.41215,8243,0.41215,4551,0.22755,3692,0.1846,0.23897986924720047,0,0.0,0.060773100005462766,0.003038655000273138,0.003038655000273138
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.5,0.9440608762859234,20000,hard_mld,False,,0.0,,,,,27601,160000,0.17250625,0.17250625,0.17250625,20000,160000,27601,7348,0.3674,7348,0.3674,0,0.0,7348,0.3674,0.3674,4551,0.22755,0.12438829999882728,0.006219414999941364,0.006219414999941364
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.5,0.9440608762859234,20000,soft_mld,False,,0.0,,,,,13215,160000,0.08259375,0.08259375,0.08259375,20000,160000,13215,3622,0.1811,3622,0.1811,0,0.0,3622,0.1811,0.1811,0,0.0,0.0332357999868691,0.0016617899993434549,0.0016617899993434549
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,0.5,0.9440608762859234,20000,chase,False,,0.0001216000528074801,137,137,0,12360,13404,160000,0.083775,0.083775,0.083775,20000,160000,13404,3676,0.1838,3676,0.1838,0,0.0,3676,0.1838,0.1838,0,0.0,1.3670931000378914,0.06835465500189458,0.06835465500189458
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,1.0,0.8912509381337456,20000,syndrome,False,,0.0001216000528074801,137,137,0,12360,41822,160000,0.2613875,0.2613875,0.08189869484151648,16090,128720,10542,6993,0.34965,6993,0.34965,3910,0.1955,3083,0.15415,0.1916096954630205,0,0.0,0.062413499981630594,0.0031206749990815297,0.0031206749990815297
wavelet_16_8_four_family,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,,,,,,,,5,,,,,2,2,4,1.0,0.8912509381337456,20000,hard_mld,False,,0.0,,,,,22933,160000,0.14333125,0.14333125,0.14333125,20000,160000,22933,6130,0.3065,6130,0.3065,0,0.0,6130,0.3065,0.3065,3910,0.1955,0.12611999997170642,0.006305999998585322,0.006305999998585322
