code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,bch_shortening_count,bch_puncture_count,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,syndrome_table_build_time_sec,syndrome_table_pattern_count,syndrome_table_entry_count,syndrome_table_collision_count,syndrome_table_memory_bytes,bit_errors,total_bits,ber,pessimistic_ber,ber_on_success,success_count,successful_decoded_bits,bit_errors_on_success,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,miscorrection_count,miscorrection_rate,conditional_miscorrection_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms,average_decoding_time_ms
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.0,1.0,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,118106,160000,0.7381625,0.7381625,0.02553963528098251,5374,42992,1098,14952,0.7476,14952,0.7476,14626,0.7313,326,0.0163,0.06066244882768887,0,0.0,1.164227741999639,0.05821138709998195,0.05821138709998195
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.0,1.0,20000,hard_mld,False,,0.0,,,,,32041,160000,0.20025625,0.20025625,0.20025625,20000,160000,32041,8533,0.42665,8533,0.42665,0,0.0,8533,0.42665,0.42665,5242,0.2621,0.15500358000008418,0.00775017900000421,0.00775017900000421
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.0,1.0,20000,soft_mld,False,,0.0,,,,,17546,160000,0.1096625,0.1096625,0.1096625,20000,160000,17546,4763,0.23815,4763,0.23815,0,0.0,4763,0.23815,0.23815,2,0.0001,0.029760460000034072,0.0014880230000017035,0.0014880230000017035
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.0,1.0,20000,chase,False,,0.000126457000078517,17,17,0,1584,33849,160000,0.21155625,0.21155625,0.10566725272232305,17632,141056,14905,6491,0.32455,6491,0.32455,2368,0.1184,4123,0.20615,0.2338362068965517,0,0.0,17.366651966000063,0.8683325983000032,0.8683325983000032
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.5,0.9440608762859234,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,110529,160000,0.69080625,0.69080625,0.015463302021971024,6281,50248,777,13951,0.69755,13951,0.69755,13719,0.68595,232,0.0116,0.03693679350421907,0,0.0,1.332105022000178,0.0666052511000089,0.0666052511000089
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.5,0.9440608762859234,20000,hard_mld,False,,0.0,,,,,27601,160000,0.17250625,0.17250625,0.17250625,20000,160000,27601,7348,0.3674,7348,0.3674,0,0.0,7348,0.3674,0.3674,4551,0.22755,0.15950994600007107,0.007975497300003555,0.007975497300003555
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.5,0.9440608762859234,20000,soft_mld,False,,0.0,,,,,13215,160000,0.08259375,0.08259375,0.08259375,20000,160000,13215,3622,0.1811,3622,0.1811,0,0.0,3622,0.1811,0.1811,0,0.0,0.020259473999885813,0.0010129736999942907,0.0010129736999942907
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,0.5,0.9440608762859234,20000,chase,False,,0.000126457000078517,17,17,0,1584,27444,160000,0.171525,0.171525,0.08186956280822297,18047,144376,11820,5238,0.2619,5238,0.2619,1953,0.09765,3285,0.16425,0.1820247132487394,0,0.0,16.626492460999998,0.8313246230499999,0.8313246230499999
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.0,0.8912509381337456,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,101540,160000,0.634625,0.634625,0.01049424509140149,7385,59080,620,12799,0.63995,12799,0.63995,12615,0.63075,184,0.0092,0.024915368991198374,0,0.0,1.4470985540001493,0.07235492770000747,0.07235492770000747
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.0,0.8912509381337456,20000,hard_mld,False,,0.0,,,,,22933,160000,0.14333125,0.14333125,0.14333125,20000,160000,22933,6130,0.3065,6130,0.3065,0,0.0,6130,0.3065,0.3065,3910,0.1955,0.15207828100028564,0.007603914050014282,0.007603914050014282
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.0,0.8912509381337456,20000,soft_mld,False,,0.0,,,,,9696,160000,0.0606,0.0606,0.0606,20000,160000,9696,2680,0.134,2680,0.134,0,0.0,2680,0.134,0.134,0,0.0,0.023210745000142197,0.0011605372500071097,0.0011605372500071097
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.0,0.8912509381337456,20000,chase,False,,0.000126457000078517,17,17,0,1584,21342,160000,0.1333875,0.1333875,0.06175228712174525,18473,147784,9126,4106,0.2053,4106,0.2053,1527,0.07635,2579,0.12895,0.1396091593135928,0,0.0,17.18302165499972,0.8591510827499861,0.8591510827499861
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.5,0.8413951416451951,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,91667,160000,0.57291875,0.57291875,0.00724953509995351,8604,68832,499,11553,0.57765,11553,0.57765,11396,0.5698,157,0.00785,0.018247326824732683,0,0.0,1.5756177329999446,0.07878088664999723,0.07878088664999723
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.5,0.8413951416451951,20000,hard_mld,False,,0.0,,,,,18692,160000,0.116825,0.116825,0.116825,20000,160000,18692,5008,0.2504,5008,0.2504,0,0.0,5008,0.2504,0.2504,3265,0.16325,0.14718936600002053,0.007359468300001026,0.007359468300001026
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.5,0.8413951416451951,20000,soft_mld,False,,0.0,,,,,6915,160000,0.04321875,0.04321875,0.04321875,20000,160000,6915,1931,0.09655,1931,0.09655,0,0.0,1931,0.09655,0.09655,0,0.0,0.021117451999998593,0.0010558725999999297,0.0010558725999999297
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,1.5,0.8413951416451951,20000,chase,False,,0.000126457000078517,17,17,0,1584,15941,160000,0.09963125,0.09963125,0.04520811240721103,18860,150880,6821,3073,0.15365,3073,0.15365,1140,0.057,1933,0.09665,0.10249204665959703,0,0.0,17.825385036999705,0.8912692518499853,0.8912692518499853
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.0,0.7943282347242815,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,81041,160000,0.50650625,0.50650625,0.004350348027842227,9913,79304,345,10191,0.50955,10191,0.50955,10087,0.50435,104,0.0052,0.010491274084535459,0,0.0,1.7602878610000516,0.08801439305000258,0.08801439305000258
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.0,0.7943282347242815,20000,hard_mld,False,,0.0,,,,,14815,160000,0.09259375,0.09259375,0.09259375,20000,160000,14815,3968,0.1984,3968,0.1984,0,0.0,3968,0.1984,0.1984,2613,0.13065,0.1400816529999247,0.007004082649996235,0.007004082649996235
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.0,0.7943282347242815,20000,soft_mld,False,,0.0,,,,,4494,160000,0.0280875,0.0280875,0.0280875,20000,160000,4494,1255,0.06275,1255,0.06275,0,0.0,1255,0.06275,0.06275,1,5e-05,0.020173525000245718,0.0010086762500122858,0.0010086762500122858
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.0,0.7943282347242815,20000,chase,False,,0.000126457000078517,17,17,0,1584,11046,160000,0.0690375,0.0690375,0.030247395833333333,19200,153600,4646,2122,0.1061,2122,0.1061,800,0.04,1322,0.0661,0.06885416666666666,0,0.0,18.486964009000076,0.9243482004500038,0.9243482004500038
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.5,0.7498942093324559,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,69541,160000,0.43463125,0.43463125,0.002349126521969296,11334,90672,213,8731,0.43655,8731,0.43655,8666,0.4333,65,0.00325,0.005734956767248985,0,0.0,1.8988425719999213,0.09494212859999607,0.09494212859999607
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.5,0.7498942093324559,20000,hard_mld,False,,0.0,,,,,11052,160000,0.069075,0.069075,0.069075,20000,160000,11052,2985,0.14925,2985,0.14925,0,0.0,2985,0.14925,0.14925,1979,0.09895,0.13569690800022727,0.006784845400011363,0.006784845400011363
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.5,0.7498942093324559,20000,soft_mld,False,,0.0,,,,,2685,160000,0.01678125,0.01678125,0.01678125,20000,160000,2685,774,0.0387,774,0.0387,0,0.0,774,0.0387,0.0387,0,0.0,0.021336001000236138,0.0010668000500118069,0.0010668000500118069
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,2.5,0.7498942093324559,20000,chase,False,,0.000126457000078517,17,17,0,1584,7220,160000,0.045125,0.045125,0.019685847749088856,19481,155848,3068,1404,0.0702,1404,0.0702,519,0.02595,885,0.04425,0.04542887942097428,0,0.0,19.209339114999693,0.9604669557499846,0.9604669557499846
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,3.0,0.7079457843841379,20000,syndrome,False,,0.000126457000078517,17,17,0,1584,58466,160000,0.3654125,0.3654125,0.0012001259148500826,12707,101656,122,7334,0.3667,7334,0.3667,7293,0.36465,41,0.00205,0.003226568033367435,0,0.0,2.0582848540002487,0.10291424270001244,0.10291424270001244
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,3.0,0.7079457843841379,20000,hard_mld,False,,0.0,,,,,8035,160000,0.05021875,0.05021875,0.05021875,20000,160000,8035,2174,0.1087,2174,0.1087,0,0.0,2174,0.1087,0.1087,1456,0.0728,0.15204485000003842,0.007602242500001921,0.007602242500001921
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,3.0,0.7079457843841379,20000,soft_mld,False,,0.0,,,,,1454,160000,0.0090875,0.0090875,0.0090875,20000,160000,1454,417,0.02085,417,0.02085,0,0.0,417,0.02085,0.02085,0,0.0,0.023825056000077893,0.0011912528000038946,0.0011912528000038946
wavelet_16_8_equal,wavelet,16,8,0.5,1 0 0 1 0 1 0,1 1 1 1 0 1 1,,,,,,,5,1,1,4,3.0,0.7079457843841379,20000,chase,False,,0.000126457000078517,17,17,0,1584,4204,160000,0.026275,0.026275,0.011948249619482496,19710,157680,1884,829,0.04145,829,0.04145,290,0.0145,539,0.02695,0.02734652460679858,0,0.0,19.93766984499962,0.9968834922499809,0.9968834922499809
