code_name,code_family,n,k,code_rate,h,g,bch_m,bch_designed_distance,bch_first_root,bch_primitive_polynomial,expected_min_distance,syndrome_t,chase_inner_t,chase_p,ebn0_db,sigma,message_count,decoder,skipped,skip_reason,bit_errors,total_bits,ber,frame_errors,frame_error_rate,codeword_errors,codeword_error_rate,failure_count,failure_rate,ambiguous_count,ambiguous_rate,total_time_sec,avg_time_ms
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,0.0,1.0,500,syndrome,False,,15872,16000,0.992,496,0.992,496,0.992,496,0.992,0,0.0,0.023897700011730194,0.04779540002346039
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,0.0,1.0,500,chase,False,,15168,16000,0.948,474,0.948,474,0.948,474,0.948,0,0.0,1.360413599992171,2.720827199984342
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,0.5,0.9440608762859234,500,syndrome,False,,15744,16000,0.984,492,0.984,492,0.984,492,0.984,0,0.0,0.025490200030617416,0.05098040006123483
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,0.5,0.9440608762859234,500,chase,False,,14272,16000,0.892,446,0.892,446,0.892,446,0.892,0,0.0,1.5255404999479651,3.0510809998959303
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,1.0,0.8912509381337456,500,syndrome,False,,15520,16000,0.97,485,0.97,485,0.97,485,0.97,0,0.0,0.03333010000642389,0.06666020001284778
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,1.0,0.8912509381337456,500,chase,False,,13088,16000,0.818,409,0.818,409,0.818,409,0.818,0,0.0,1.7698447000002488,3.5396894000004977
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,1.5,0.8413951416451951,500,syndrome,False,,15072,16000,0.942,471,0.942,471,0.942,471,0.942,0,0.0,0.044800000032410026,0.08960000006482005
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,1.5,0.8413951416451951,500,chase,False,,11616,16000,0.726,363,0.726,363,0.726,363,0.726,0,0.0,2.1019091000780463,4.203818200156093
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,2.0,0.7943282347242815,500,syndrome,False,,14592,16000,0.912,456,0.912,456,0.912,456,0.912,0,0.0,0.059983600047416985,0.11996720009483397
wavelet_64_32_preliminary,wavelet,64,32,0.5,1 0 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,,,,,,8,3,3,6,2.0,0.7943282347242815,500,chase,False,,9792,16000,0.612,306,0.612,306,0.612,306,0.612,0,0.0,2.7019759999820963,5.4039519999641925
