code,channel,decoder,parameter,mean_BER,std_BER,ci_low,ci_high,seeds,words,decode_time
wavelet_16_8,rayleigh_awgn,syndrome,0.0,0.49125000,0.03415269,0.44895185,0.53354815,5,100,0.0196
wavelet_16_8,rayleigh_awgn,syndrome,1.0,0.42900000,0.03620040,0.38416576,0.47383424,5,100,0.0244
wavelet_16_8,rayleigh_awgn,syndrome,2.0,0.36350000,0.04717322,0.30507591,0.42192409,5,100,0.0253
wavelet_16_8,rayleigh_awgn,syndrome,3.0,0.31475000,0.04876122,0.25435917,0.37514083,5,100,0.0248
wavelet_16_8,rayleigh_awgn,syndrome,4.0,0.25425000,0.03065177,0.21628774,0.29221226,5,100,0.0227
wavelet_16_8,rayleigh_awgn,syndrome,5.0,0.19850000,0.02314020,0.16984083,0.22715917,5,100,0.0227
wavelet_16_8,rayleigh_awgn,syndrome,6.0,0.13250000,0.02908769,0.09647486,0.16852514,5,100,0.0233
wavelet_16_8,rayleigh_awgn,chase,0.0,0.22975000,0.02652240,0.19690198,0.26259802,5,100,0.1640
wavelet_16_8,rayleigh_awgn,chase,1.0,0.17900000,0.02665462,0.14598822,0.21201178,5,100,0.1645
wavelet_16_8,rayleigh_awgn,chase,2.0,0.14425000,0.02863564,0.10878472,0.17971528,5,100,0.1670
wavelet_16_8,rayleigh_awgn,chase,3.0,0.09975000,0.01730697,0.07831529,0.12118471,5,100,0.1639
wavelet_16_8,rayleigh_awgn,chase,4.0,0.05300000,0.01511932,0.03427471,0.07172529,5,100,0.1652
wavelet_16_8,rayleigh_awgn,chase,5.0,0.02700000,0.00549147,0.02019881,0.03380119,5,100,0.1665
wavelet_16_8,rayleigh_awgn,chase,6.0,0.01275000,0.01160549,0.00000000,0.02712342,5,100,0.1680
wavelet_16_8,rayleigh_awgn,hard_mld,0.0,0.30575000,0.02196588,0.27854523,0.33295477,5,100,0.0128
wavelet_16_8,rayleigh_awgn,hard_mld,1.0,0.25750000,0.02282748,0.22922814,0.28577186,5,100,0.0123
wavelet_16_8,rayleigh_awgn,hard_mld,2.0,0.20400000,0.01291196,0.18800852,0.21999148,5,100,0.0123
wavelet_16_8,rayleigh_awgn,hard_mld,3.0,0.17525000,0.01206752,0.16030436,0.19019564,5,100,0.0140
wavelet_16_8,rayleigh_awgn,hard_mld,4.0,0.13050000,0.01488498,0.11206494,0.14893506,5,100,0.0127
wavelet_16_8,rayleigh_awgn,hard_mld,5.0,0.09800000,0.01376703,0.08094951,0.11505049,5,100,0.0120
wavelet_16_8,rayleigh_awgn,hard_mld,6.0,0.05925000,0.01010105,0.04673983,0.07176017,5,100,0.0122
wavelet_16_8,rayleigh_awgn,soft_mld,0.0,0.22325000,0.02507177,0.19219858,0.25430142,5,100,0.0054
wavelet_16_8,rayleigh_awgn,soft_mld,1.0,0.18100000,0.01584594,0.16137479,0.20062521,5,100,0.0042
wavelet_16_8,rayleigh_awgn,soft_mld,2.0,0.14250000,0.02914136,0.10640839,0.17859161,5,100,0.0039
wavelet_16_8,rayleigh_awgn,soft_mld,3.0,0.09825000,0.01874166,0.07503842,0.12146158,5,100,0.0040
wavelet_16_8,rayleigh_awgn,soft_mld,4.0,0.05025000,0.01401450,0.03289302,0.06760698,5,100,0.0034
wavelet_16_8,rayleigh_awgn,soft_mld,5.0,0.02600000,0.00657885,0.01785209,0.03414791,5,100,0.0044
wavelet_16_8,rayleigh_awgn,soft_mld,6.0,0.01275000,0.01160549,0.00000000,0.02712342,5,100,0.0040
wavelet_16_8,rayleigh,syndrome,0.0,0.44275000,0.05738712,0.37167598,0.51382402,5,100,0.0170
wavelet_16_8,rayleigh,syndrome,1.0,0.37575000,0.05232560,0.31094467,0.44055533,5,100,0.0206
wavelet_16_8,rayleigh,syndrome,2.0,0.34325000,0.04330668,0.28961462,0.39688538,5,100,0.0241
wavelet_16_8,rayleigh,syndrome,3.0,0.29375000,0.03158570,0.25463107,0.33286893,5,100,0.0210
wavelet_16_8,rayleigh,syndrome,4.0,0.25100000,0.02422873,0.22099269,0.28100731,5,100,0.0221
wavelet_16_8,rayleigh,syndrome,5.0,0.21800000,0.02574818,0.18611085,0.24988915,5,100,0.0208
wavelet_16_8,rayleigh,syndrome,6.0,0.18650000,0.03335884,0.14518503,0.22781497,5,100,0.0210
wavelet_16_8,rayleigh,chase,0.0,0.23650000,0.01898601,0.21298580,0.26001420,5,100,0.1199
wavelet_16_8,rayleigh,chase,1.0,0.20300000,0.03487254,0.15981032,0.24618968,5,100,0.1530
wavelet_16_8,rayleigh,chase,2.0,0.16850000,0.02917351,0.13236857,0.20463143,5,100,0.1596
wavelet_16_8,rayleigh,chase,3.0,0.14350000,0.02971742,0.10669494,0.18030506,5,100,0.1502
wavelet_16_8,rayleigh,chase,4.0,0.11875000,0.02614563,0.08636861,0.15113139,5,100,0.1507
wavelet_16_8,rayleigh,chase,5.0,0.09850000,0.02435737,0.06833337,0.12866663,5,100,0.1441
wavelet_16_8,rayleigh,chase,6.0,0.08025000,0.02160367,0.05349382,0.10700618,5,100,0.1573
