code,channel,decoder,parameter,metric,mean,std,ci_low,ci_high,seeds,words
wavelet_16_8,rayleigh_awgn,syndrome,0.0,ber,0.49125000,0.03415269,0.44895185,0.53354815,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,frame_error_rate,0.66400000,0.02701851,0.63053754,0.69746246,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,failure_rate,0.34000000,0.03162278,0.30083515,0.37916485,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,miscorrection_rate,0.32400000,0.01140175,0.30987891,0.33812109,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,conditional_miscorrection_rate,0.49145091,0.02018237,0.46645503,0.51644680,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,0.0,average_decoding_time_ms,0.01956260,0.00606172,0.01205515,0.02707005,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,ber,0.42900000,0.03620040,0.38416576,0.47383424,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,frame_error_rate,0.57400000,0.03714835,0.52799172,0.62000828,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,failure_rate,0.30400000,0.02966479,0.26726011,0.34073989,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,miscorrection_rate,0.27000000,0.02828427,0.23496989,0.30503011,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,conditional_miscorrection_rate,0.38825567,0.04093283,0.33756031,0.43895103,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,1.0,average_decoding_time_ms,0.02443240,0.00232858,0.02154845,0.02731635,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,ber,0.36350000,0.04717322,0.30507591,0.42192409,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,frame_error_rate,0.48400000,0.03974921,0.43477055,0.53322945,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,failure_rate,0.26600000,0.05727128,0.19506944,0.33693056,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,miscorrection_rate,0.21800000,0.03271085,0.17748756,0.25851244,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,conditional_miscorrection_rate,0.29646222,0.03240935,0.25632320,0.33660124,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,2.0,average_decoding_time_ms,0.02531200,0.00341222,0.02108596,0.02953804,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,ber,0.31475000,0.04876122,0.25435917,0.37514083,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,frame_error_rate,0.41800000,0.05118594,0.35460615,0.48139385,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,failure_rate,0.22400000,0.04827007,0.16421745,0.28378255,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,miscorrection_rate,0.19400000,0.02408319,0.16417294,0.22382706,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,conditional_miscorrection_rate,0.25062311,0.03416323,0.20831189,0.29293432,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,3.0,average_decoding_time_ms,0.02483000,0.00340912,0.02060781,0.02905220,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,ber,0.25425000,0.03065177,0.21628774,0.29221226,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,frame_error_rate,0.33600000,0.03361547,0.29436719,0.37763281,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,failure_rate,0.19200000,0.03346640,0.15055182,0.23344818,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,miscorrection_rate,0.14400000,0.04449719,0.08889017,0.19910983,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,conditional_miscorrection_rate,0.17722244,0.05140537,0.11355682,0.24088806,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,4.0,average_decoding_time_ms,0.02272540,0.00105810,0.02141494,0.02403586,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,ber,0.19850000,0.02314020,0.16984083,0.22715917,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,frame_error_rate,0.26400000,0.02792848,0.22941054,0.29858946,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,failure_rate,0.15200000,0.02167948,0.12514993,0.17885007,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,miscorrection_rate,0.11200000,0.02588436,0.07994219,0.14405781,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,conditional_miscorrection_rate,0.13194591,0.03007299,0.09470046,0.16919135,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,5.0,average_decoding_time_ms,0.02274960,0.00097109,0.02154691,0.02395229,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,ber,0.13250000,0.02908769,0.09647486,0.16852514,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,frame_error_rate,0.16800000,0.04711688,0.10964569,0.22635431,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,failure_rate,0.10800000,0.02863564,0.07253472,0.14346528,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,miscorrection_rate,0.06000000,0.03674235,0.01449456,0.10550544,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,conditional_miscorrection_rate,0.06735390,0.04218021,0.01511366,0.11959414,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,syndrome,6.0,average_decoding_time_ms,0.02327980,0.00042588,0.02275235,0.02380725,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,ber,0.22975000,0.02652240,0.19690198,0.26259802,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,frame_error_rate,0.45000000,0.03240370,0.40986797,0.49013203,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,miscorrection_rate,0.45000000,0.03240370,0.40986797,0.49013203,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,conditional_miscorrection_rate,0.45000000,0.03240370,0.40986797,0.49013203,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,0.0,average_decoding_time_ms,0.16401000,0.00884905,0.15305044,0.17496956,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,ber,0.17900000,0.02665462,0.14598822,0.21201178,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,frame_error_rate,0.36400000,0.04277850,0.31101877,0.41698123,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,miscorrection_rate,0.36400000,0.04277850,0.31101877,0.41698123,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,conditional_miscorrection_rate,0.36400000,0.04277850,0.31101877,0.41698123,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,1.0,average_decoding_time_ms,0.16446220,0.00789551,0.15468360,0.17424080,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,ber,0.14425000,0.02863564,0.10878472,0.17971528,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,frame_error_rate,0.29200000,0.05761944,0.22063825,0.36336175,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,miscorrection_rate,0.29200000,0.05761944,0.22063825,0.36336175,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,conditional_miscorrection_rate,0.29200000,0.05761944,0.22063825,0.36336175,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,2.0,average_decoding_time_ms,0.16695420,0.00223269,0.16418901,0.16971939,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,ber,0.09975000,0.01730697,0.07831529,0.12118471,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,frame_error_rate,0.20600000,0.03646917,0.16083289,0.25116711,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,miscorrection_rate,0.20600000,0.03646917,0.16083289,0.25116711,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,conditional_miscorrection_rate,0.20600000,0.03646917,0.16083289,0.25116711,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,ambiguous_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,3.0,average_decoding_time_ms,0.16390300,0.00624077,0.15617380,0.17163220,5,100
wavelet_16_8,rayleigh_awgn,chase,4.0,ber,0.05300000,0.01511932,0.03427471,0.07172529,5,100
wavelet_16_8,rayleigh_awgn,chase,4.0,frame_error_rate,0.11600000,0.03049590,0.07823079,0.15376921,5,100
wavelet_16_8,rayleigh_awgn,chase,4.0,failure_rate,0.00000000,0.00000000,0.00000000,0.00000000,5,100
wavelet_16_8,rayleigh_awgn,chase,4.0,miscorrection_rate,0.11600000,0.03049590,0.07823079,0.15376921,5,100
wavelet_16_8,rayleigh_awgn,chase,4.0,conditional_miscorrection_rate,0.11600000,0.03049590,0.07823079,0.15376921,5,100
